optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,GRU,False,,0.8678899082568807,0.868
<class 'torch.optim.adam.Adam'>,0.001,16,150,,,0,True,300,,,GRU,True,True,0.8678899082568807,0.884
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,GRU,False,,0.8669724770642202,0.872
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,GRU,False,,0.8669724770642202,0.874
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,GRU,True,False,0.8669724770642202,0.892
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,GRU,True,False,0.8669724770642202,0.88
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,GRU,True,True,0.8660550458715597,0.89
<class 'torch.optim.adam.Adam'>,0.0002,16,190,,,0,True,300,,,GRU,True,False,0.8660550458715597,0.884
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,GRU,False,,0.865137614678899,0.878
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,GRU,True,False,0.865137614678899,0.868
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,GRU,True,False,0.865137614678899,0.924
<class 'torch.optim.adam.Adam'>,0.0005,16,128,,,0,True,300,,,GRU,True,True,0.865137614678899,0.89
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,GRU,False,,0.865137614678899,0.88
<class 'torch.optim.adam.Adam'>,0.001,16,170,,,0,True,300,,,GRU,True,True,0.8642201834862385,0.884
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,GRU,False,,0.863302752293578,0.886
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,GRU,False,,0.863302752293578,0.876
<class 'torch.optim.adam.Adam'>,0.0002,16,128,,,0,True,300,,,GRU,False,,0.863302752293578,0.86
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,GRU,True,False,0.863302752293578,0.858
<class 'torch.optim.adam.Adam'>,0.0002,16,200,,,0,True,300,,,GRU,True,False,0.8623853211009175,0.88
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,GRU,True,False,0.8623853211009175,0.874
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,GRU,False,,0.8614678899082568,0.886
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,GRU,True,False,0.8614678899082568,0.874
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,GRU,True,True,0.8614678899082568,0.86
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,GRU,True,True,0.8614678899082568,0.87
<class 'torch.optim.adam.Adam'>,0.0005,16,170,,,0,True,300,,,GRU,True,True,0.8596330275229358,0.86
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,GRU,True,False,0.8596330275229358,0.87
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,GRU,True,True,0.8596330275229358,0.868
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,GRU,False,,0.8587155963302753,0.844
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,GRU,True,True,0.8587155963302753,0.862
<class 'torch.optim.adam.Adam'>,0.0002,16,170,,,0,True,300,,,GRU,False,,0.8587155963302753,0.862
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,GRU,True,False,0.8587155963302753,0.858
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,GRU,True,False,0.8587155963302753,0.86
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,GRU,True,False,0.8577981651376146,0.874
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,GRU,False,,0.8577981651376146,0.858
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,GRU,False,,0.8577981651376146,0.864
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,GRU,True,False,0.8577981651376146,0.876
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,GRU,True,False,0.8577981651376146,0.868
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,GRU,True,False,0.8577981651376146,0.87
<class 'torch.optim.adam.Adam'>,0.0002,16,200,,,0,True,300,,,GRU,False,,0.8568807339449541,0.858
<class 'torch.optim.adam.Adam'>,0.0002,16,128,,,0,True,300,,,GRU,True,False,0.8568807339449541,0.866
