optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0005,32,170,l2,False,2e-05,True,300,0.8807339449541285,0.906
<class 'torch.optim.adam.Adam'>,0.0005,32,170,l2,False,2e-05,False,100,0.7321100917431193,0.814
