optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0005,32,170,l2,False,2e-05,True,300,,,RNN,False,,0.8807339449541285,0.906
<class 'torch.optim.adam.Adam'>,0.0005,32,170,l2,False,2e-05,True,300,,,RNN,True,False,0.8752293577981651,0.904
<class 'torch.optim.adam.Adam'>,0.0005,32,170,l2,False,2e-05,True,300,,,RNN,True,True,0.8440366972477065,0.854
