optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,0.001,0.0,0.8605504587155963,0.868
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,2e-05,0.0,0.8605504587155963,0.882
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,1e-05,0.0,0.8605504587155963,0.886
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,0.0002,0.0,0.8605504587155963,0.894
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l1,True,0.01,0.0,0.0,0.8605504587155963,0.894
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l1,False,0.05,0.0,0.0,0.8596330275229358,0.886
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,0.0002,0.0,0.8596330275229358,0.894
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,2e-05,0.0,0.8587155963302753,0.89
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,0.0002,0.0,0.8587155963302753,0.868
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,1e-05,0.0,0.8577981651376146,0.912
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,2e-05,0.0,0.8577981651376146,0.864
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,0.0002,0.0,0.8577981651376146,0.868
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,2e-05,0.0,0.8577981651376146,0.876
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,0.0002,0.0,0.8577981651376146,0.89
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,0.002,0.0,0.8568807339449541,0.886
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,1e-05,0.0,0.8568807339449541,0.892
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,0.002,0.0,0.8568807339449541,0.874
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,2e-05,0.0,0.8568807339449541,0.892
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,1e-05,0.0,0.8559633027522936,0.89
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,0.01,0.0,0.8550458715596331,0.834
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,0.0002,0.0,0.8550458715596331,0.89
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l1,True,0.1,0.0,0.0,0.8541284403669724,0.882
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,0.002,0.0,0.8541284403669724,0.862
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,0.0001,0.0,0.8532110091743119,0.874
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2_weight_decay,False,0.0,0.0,0.001,0.8532110091743119,0.896
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,0.002,0.0,0.8532110091743119,0.884
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,1e-05,0.0,0.8532110091743119,0.9
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,0.001,0.0,0.8532110091743119,0.884
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,0.002,0.0,0.8522935779816514,0.866
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,0.0001,0.0,0.8504587155963302,0.864
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2_weight_decay,False,0.0,0.0,0.01,0.8504587155963302,0.852
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l1,False,0.1,0.0,0.0,0.8495412844036697,0.87
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,0.001,0.0,0.8486238532110092,0.888
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,0.001,0.0,0.8486238532110092,0.874
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l1,False,0.001,0.0,0.0,0.8477064220183487,0.88
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l1,True,0.005,0.0,0.0,0.8477064220183487,0.902
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,0.001,0.0,0.8458715596330275,0.872
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,0.001,0.0,0.844954128440367,0.854
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,0.001,0.0,0.8431192660550458,0.848
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,0.002,0.0,0.8431192660550458,0.866
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,0.002,0.0,0.8422018348623853,0.876
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,0.001,0.0,0.8422018348623853,0.862
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,0.01,0.0,0.8412844036697248,0.856
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,0.01,0.0,0.8394495412844036,0.86
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,0.002,0.0,0.8366972477064221,0.858
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,0.01,0.0,0.8339449541284404,0.852
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,0.01,0.0,0.8339449541284404,0.848
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,0.002,0.0,0.8321100917431192,0.866
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,0.01,0.0,0.8321100917431192,0.842
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,0.01,0.0,0.8293577981651377,0.85
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2_weight_decay,True,0.0,0.0,0.01,0.828440366972477,0.866
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,0.01,0.0,0.828440366972477,0.838
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,0.01,0.0,0.8211009174311926,0.844
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,0.01,0.0,0.8073394495412844,0.814
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,0.01,0.0,0.7972477064220184,0.794
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,0.02,0.0,0.7963302752293578,0.782
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,0.01,0.0,0.7880733944954128,0.782
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,0.02,0.0,0.7862385321100918,0.776
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,0.02,0.0,0.7779816513761468,0.754
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,0.02,0.0,0.773394495412844,0.77
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,0.02,0.0,0.7706422018348624,0.76
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,0.02,0.0,0.7660550458715596,0.752
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,0.02,0.0,0.7577981651376147,0.772
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,0.02,0.0,0.7532110091743119,0.73
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,0.02,0.0,0.7422018348623853,0.772
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,0.02,0.0,0.7256880733944954,0.712
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,0.02,0.0,0.7174311926605504,0.726
