optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.001,16,200,,,0,True,300,,,LSTM,True,False,0.8862385321100917,0.896
<class 'torch.optim.adam.Adam'>,0.0002,16,200,,,0,True,300,,,LSTM,False,,0.881651376146789,0.886
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,LSTM,False,,0.8807339449541285,0.886
<class 'torch.optim.adam.Adam'>,0.001,16,170,,,0,True,300,,,LSTM,True,True,0.8798165137614679,0.876
<class 'torch.optim.adam.Adam'>,0.001,16,150,,,0,True,300,,,LSTM,True,False,0.8798165137614679,0.892
<class 'torch.optim.adam.Adam'>,0.001,16,190,,,0,True,300,,,LSTM,True,False,0.8798165137614679,0.906
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,LSTM,True,False,0.8788990825688073,0.87
<class 'torch.optim.adam.Adam'>,0.001,16,128,,,0,True,300,,,LSTM,True,False,0.8788990825688073,0.908
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,LSTM,False,,0.8779816513761468,0.876
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,LSTM,False,,0.8770642201834863,0.856
<class 'torch.optim.adam.Adam'>,0.0002,16,150,,,0,True,300,,,LSTM,True,False,0.8761467889908257,0.882
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,LSTM,True,False,0.8761467889908257,0.876
<class 'torch.optim.adam.Adam'>,0.0005,16,190,,,0,True,300,,,LSTM,True,False,0.8761467889908257,0.896
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,LSTM,True,False,0.8761467889908257,0.864
<class 'torch.optim.adam.Adam'>,0.001,16,150,,,0,True,300,,,LSTM,False,,0.8761467889908257,0.898
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,LSTM,True,False,0.8761467889908257,0.902
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,LSTM,False,,0.8761467889908257,0.858
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,LSTM,True,False,0.8752293577981651,0.898
<class 'torch.optim.adam.Adam'>,0.0005,16,128,,,0,True,300,,,LSTM,False,,0.8752293577981651,0.88
<class 'torch.optim.adam.Adam'>,0.001,16,170,,,0,True,300,,,LSTM,True,False,0.8752293577981651,0.908
<class 'torch.optim.adam.Adam'>,0.0002,16,128,,,0,True,300,,,LSTM,True,False,0.8752293577981651,0.88
<class 'torch.optim.adam.Adam'>,0.0005,16,200,,,0,True,300,,,LSTM,False,,0.8752293577981651,0.904
