regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
both,True,0.01,0.0002,0.0,0.7091743119266055,0.83
both,False,0.001,0.0002,0.0,0.7091743119266055,0.814
both,False,0.05,1e-05,0.0,0.7073394495412844,0.76
both,False,0.001,2e-05,0.0,0.7045871559633028,0.794
both,False,0.1,1e-05,0.0,0.6954128440366972,0.76
both,True,0.1,1e-05,0.0,0.6944954128440367,0.76
both,False,0.005,0.002,0.0,0.6944954128440367,0.816
both,False,0.01,0.001,0.0,0.6853211009174311,0.804
both,False,0.1,0.0002,0.0,0.681651376146789,0.766
both,False,0.001,0.002,0.0,0.6788990825688074,0.698
both,False,0.01,0.002,0.0,0.6779816513761467,0.71
both,True,0.05,1e-05,0.0,0.6688073394495413,0.764
both,True,0.005,0.01,0.0,0.6330275229357798,0.626
both,True,0.001,0.01,0.0,0.6174311926605505,0.718
both,False,0.01,0.01,0.0,0.5862385321100917,0.64
both,False,0.001,0.01,0.0,0.5715596330275229,0.608
both,False,0.1,0.001,0.0,0.5706422018348624,0.662
both,False,0.1,0.002,0.0,0.5669724770642202,0.642
both,True,0.1,0.002,0.0,0.5651376146788991,0.6
both,True,0.1,0.001,0.0,0.5522935779816514,0.614
both,True,0.01,0.01,0.0,0.5458715596330275,0.586
both,False,0.005,0.01,0.0,0.5376146788990825,0.628
both,False,0.05,0.01,0.0,0.5302752293577981,0.658
both,True,0.05,0.01,0.0,0.4889908256880734,0.586
both,False,0.005,0.02,0.0,0.4761467889908257,0.49
both,True,0.1,0.02,0.0,0.4697247706422018,0.538
both,False,0.1,0.02,0.0,0.4697247706422018,0.59
both,True,0.05,0.02,0.0,0.4688073394495413,0.566
both,True,0.1,0.01,0.0,0.4660550458715596,0.532
both,True,0.005,0.02,0.0,0.4642201834862385,0.572
both,False,0.01,0.02,0.0,0.463302752293578,0.588
both,False,0.05,0.02,0.0,0.4541284403669725,0.586
both,True,0.01,0.02,0.0,0.446788990825688,0.502
both,True,0.001,0.02,0.0,0.4293577981651376,0.52
both,False,0.001,0.02,0.0,0.4247706422018348,0.46
both,False,0.1,0.01,0.0,0.3981651376146789,0.474
both,True,0.1,2.0,0.0,0.2422018348623853,0.188
both,True,0.05,2.0,0.0,0.2422018348623853,0.188
